gene_symbol,log2FoldChange,pvalue
Tbcb,-0.175509734,0.63091191
Gbp9,0.216185042,0.299730183
D330050G23Rik,-0.031879467,0.99999707
Asl,0.014300804,0.99999707
1700040D17Rik,0.039733214,0.99999707
Slc25a19,0.005591648,0.99999707
Engase,-0.053556084,0.99999707
RP23-106I21.5,-0.072915716,0.99999707
Sdhb,0.028851153,0.99999707
RP23-187B11.11,0.14794274,0.132927493
Gm43511,-0.11352094,0.99999707
Casp3,-0.019009807,0.99999707
Trappc6b,0.046309639,0.99999707
Gm10767,0.056592934,0.99999707
Mfn1,-0.128193903,0.970034459
Gm4968,-0.112145437,0.99999707
Ankrd13a,-0.123041715,0.731198993
Birc3,-0.013547402,0.99999707
Jak2,0.017816907,0.99999707
Xrcc4,0.014487346,0.99999707
Bak1,-0.156199294,0.511420688
Gm5353,-0.186014612,0.359482407
Zfp874b,0.042450867,0.99999707
Gm26694,-0.048008052,0.99999707
Denr,-0.011502566,0.99999707
Zfp438,0.029332601,0.99999707
Nlrp6,0.252574648,0.090384497
Hist1h4j,0.064537242,0.99999707
Sco2,-0.032366159,0.99999707
Vps18,-0.073964836,0.99999707
Gm10863,0.066276252,0.99999707
2810455O05Rik,-0.012772019,0.99999707
Ceacam19,0.008726347,0.99999707
Rbm6-ps2,-0.008220611,0.99999707
Zfp628,0.110166461,0.978775879
Rpl17-ps1,-0.012213037,0.99999707
Tex2,-0.595972944,2.76E-08
Ppp1r3e,-0.023031077,0.99999707
Ocel1,-0.148018958,0.618087357
Ctps,-0.039965539,0.99999707
Atp6v1g1,-0.200043661,0.213428887
Mipep,0.021662815,0.99999707
Bnip1,0.050748159,0.99999707
Gm24346,0.007654088,0.99999707
Rpl18-ps2,0.066814722,0.99999707
Cdc37l1,0.038290358,0.99999707
Rras2,-0.046930173,0.99999707
Kcnj1,-0.064773711,0.99999707
Ptpn2,-0.015460023,0.99999707
Mcm5,-0.049172038,0.99999707
Gm15236,0.012450579,0.99999707
Prr22,-0.027818761,0.99999707
Rpl21-ps10,-0.017398668,0.99999707
Lamb3,-0.129846734,0.99999707
BC028528,-0.016388379,0.99999707
Mthfr,0.030303603,0.99999707
A930028O11Rik,-0.078665205,0.99999707
Trim30a,-0.01559373,0.99999707
Pih1d2,0.117036464,0.967965907
Gm5274,0.235506603,0.272279436
Gm11849,-0.094244115,0.99999707
Gm13009,0.172534345,0.542241499
Gm12689,-0.064846334,0.99999707
Fosb,0.06048398,0.99999707
Gm2822,0.004095222,0.99999707
Ppih,-0.051272686,0.99999707
Gm14239,-0.169431703,0.705273651
Gm19705,-0.005557656,0.99999707
Nubp1,-0.090991356,0.99999707
Asb10,-0.105230705,0.907567874
Gm42423,-0.011269654,0.99999707
Cox7b,0.269175172,0.143723099
Gm13920,0.027009146,0.99999707
Gm29718,0.007184963,0.99999707
Prm1,0.072231468,0.99999707
Pdcd4,0.01938397,0.99999707
Mrpl12,0.038817641,0.99999707
Camta2,-0.03419759,0.99999707
Gm16459,-0.159095127,0.593746391
Gm28941,0.109988377,0.841492314
Lrrcc1,0.12357768,0.898266168
Klf8,0.007631354,0.99999707
Gm16210,0.273642798,0.090698183
Mapk8ip3,0.13129808,0.745321933
Pddc1,-0.012222126,0.99999707
